"year","city","sport","discipline","athlete","country","gender","event","medal"
2012,"London","Wrestling","Wrestling Freestyle","RENTERIA CASTILLO Jackeline","COL","Women","Wf 55 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","ASGAROV Toghrul","AZE","Men","Wf 60 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","KUDUKHOV Besik","","Men","Wf 60 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","DUTT Yogeshwar","IND","Men","Wf 60 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","SCOTT Coleman","USA","Men","Wf 60 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","ICHO Kaori","JPN","Women","Wf 63 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","JING Ruixue","CHN","Women","Wf 63 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","SORONZONBOLD Battsetseg","MGL","Women","Wf 63 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","VOLOSOVA Lubov","RUS","Women","Wf 63 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","YONEMITSU Tatsuhiro","JPN","Men","Wf 66 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","KUMAR Sushil","IND","Men","Wf 66 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","LOPEZ AZCUY Livan","CUB","Men","Wf 66 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","TANATAROV Akzhurek","KAZ","Men","Wf 66 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","VOROBIEVA Natalia","RUS","Women","Wf 72 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","HRISTOVA Stanka Zlateva","BUL","Women","Wf 72 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","MANYUROVA Guzel","KAZ","Women","Wf 72 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","UNDA Maider","ESP","Women","Wf 72 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","BURROUGHS Jordan Ernest","USA","Men","Wf 74 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","GOUDARZI Sadegh Saeed","IRI","Men","Wf 74 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","HATOS Gabor","HUN","Men","Wf 74 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","TSARGUSH Denis","RUS","Men","Wf 74 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","SHARIFOV Sharif","AZE","Men","Wf 84 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","ESPINAL Jaime Yusept","PUR","Men","Wf 84 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","LASHGARI Ehsan Naser","IRI","Men","Wf 84 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","MARSAGISHVILI Dato","GEO","Men","Wf 84 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","VARNER Jacob Stephen","USA","Men","Wf 96 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","ANDRIITSEV Valerii","UKR","Men","Wf 96 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","GAZYUMOV Khetag","AZE","Men","Wf 96 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","GOGSHELIDZE George","GEO","Men","Wf 96 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","LOPEZ NUNEZ Mijain","CUB","Men","Wg 120 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","NABI Heiki","EST","Men","Wg 120 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","EUREN Johan","SWE","Men","Wg 120 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","KAYAALP Riza","TUR","Men","Wg 120 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","SORYAN REIHANPOUR Hamid Mohammad","IRI","Men","Wg 55 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","BAYRAMOV Rovshan","AZE","Men","Wg 55 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","MODOS Peter","HUN","Men","Wg 55 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","SEMENOV Mingiyan","RUS","Men","Wg 55 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","NOROOZI Omid Haji","IRI","Men","Wg 60 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","LASHKHI Revaz","GEO","Men","Wg 60 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","KURAMAGOMEDOV Zaur","RUS","Men","Wg 60 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","MATSUMOTO Ryutaro","JPN","Men","Wg 60 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","KIM Hyeonwoo","KOR","Men","Wg 66 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","LORINCZ Tamas","HUN","Men","Wg 66 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","GUENOT Steeve","FRA","Men","Wg 66 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","TSKHADAIA Manuchar","GEO","Men","Wg 66 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","VLASOV Roman","RUS","Men","Wg 74 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","JULFALAKYAN Arsen","ARM","Men","Wg 74 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","AHMADOV Emin","AZE","Men","Wg 74 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","KAZAKEVIC Aleksandr","LTU","Men","Wg 74 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","KHUGAEV Alan","RUS","Men","Wg 84 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","EBRAHIM Karam Mohamed Gaber","EGY","Men","Wg 84 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","GAJIYEV Danyal","KAZ","Men","Wg 84 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","JANIKOWSKI Damian","POL","Men","Wg 84 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","REZAEI Ghasem Gholamreza","IRI","Men","Wg 96 KG","Gold"
2012,"London","Wrestling","Wrestling Freestyle","TOTROV Rustam","RUS","Men","Wg 96 KG","Silver"
2012,"London","Wrestling","Wrestling Freestyle","ALEKSANYAN Artur","ARM","Men","Wg 96 KG","Bronze"
2012,"London","Wrestling","Wrestling Freestyle","LIDBERG Jimmy","SWE","Men","Wg 96 KG","Bronze"